nSeq,A1,Activity
12,516.0,elevacion_reggaeton
13,516.0,elevacion_reggaeton
14,511.0,elevacion_reggaeton
15,511.0,elevacion_reggaeton
0,512.0,elevacion_reggaeton
1,516.0,elevacion_reggaeton
2,516.0,elevacion_reggaeton
3,515.0,elevacion_reggaeton
4,518.0,elevacion_reggaeton
5,523.0,elevacion_reggaeton
6,518.0,elevacion_reggaeton
7,519.0,elevacion_reggaeton
8,513.0,elevacion_reggaeton
9,509.0,elevacion_reggaeton
10,509.0,elevacion_reggaeton
11,512.0,elevacion_reggaeton
12,512.0,elevacion_reggaeton
13,510.0,elevacion_reggaeton
14,507.0,elevacion_reggaeton
15,510.0,elevacion_reggaeton
0,513.0,elevacion_reggaeton
1,519.0,elevacion_reggaeton
2,522.0,elevacion_reggaeton
3,519.0,elevacion_reggaeton
4,523.0,elevacion_reggaeton
5,521.0,elevacion_reggaeton
6,523.0,elevacion_reggaeton
7,523.0,elevacion_reggaeton
8,521.0,elevacion_reggaeton
9,520.0,elevacion_reggaeton
10,518.0,elevacion_reggaeton
11,524.0,elevacion_reggaeton
12,523.0,elevacion_reggaeton
13,521.0,elevacion_reggaeton
14,522.0,elevacion_reggaeton
15,525.0,elevacion_reggaeton
0,523.0,elevacion_reggaeton
1,525.0,elevacion_reggaeton
2,518.0,elevacion_reggaeton
3,520.0,elevacion_reggaeton
4,519.0,elevacion_reggaeton
5,512.0,elevacion_reggaeton
6,503.0,elevacion_reggaeton
7,499.0,elevacion_reggaeton
8,501.0,elevacion_reggaeton
9,501.0,elevacion_reggaeton
10,504.0,elevacion_reggaeton
11,502.0,elevacion_reggaeton
12,502.0,elevacion_reggaeton
13,498.0,elevacion_reggaeton
14,497.0,elevacion_reggaeton
15,506.0,elevacion_reggaeton
0,515.0,elevacion_reggaeton
1,513.0,elevacion_reggaeton
2,505.0,elevacion_reggaeton
3,503.0,elevacion_reggaeton
4,504.0,elevacion_reggaeton
5,506.0,elevacion_reggaeton
6,510.0,elevacion_reggaeton
7,509.0,elevacion_reggaeton
8,506.0,elevacion_reggaeton
9,506.0,elevacion_reggaeton
10,511.0,elevacion_reggaeton
11,510.0,elevacion_reggaeton
12,513.0,elevacion_reggaeton
13,515.0,elevacion_reggaeton
14,513.0,elevacion_reggaeton
15,512.0,elevacion_reggaeton
0,518.0,elevacion_reggaeton
1,522.0,elevacion_reggaeton
2,519.0,elevacion_reggaeton
3,523.0,elevacion_reggaeton
4,524.0,elevacion_reggaeton
5,526.0,elevacion_reggaeton
6,526.0,elevacion_reggaeton
7,521.0,elevacion_reggaeton
8,520.0,elevacion_reggaeton
9,518.0,elevacion_reggaeton
10,511.0,elevacion_reggaeton
11,511.0,elevacion_reggaeton
12,507.0,elevacion_reggaeton
13,503.0,elevacion_reggaeton
14,508.0,elevacion_reggaeton
15,516.0,elevacion_reggaeton
0,519.0,elevacion_reggaeton
1,519.0,elevacion_reggaeton
2,525.0,elevacion_reggaeton
3,514.0,elevacion_reggaeton
4,509.0,elevacion_reggaeton
5,514.0,elevacion_reggaeton
6,518.0,elevacion_reggaeton
7,519.0,elevacion_reggaeton
8,520.0,elevacion_reggaeton
9,516.0,elevacion_reggaeton
10,515.0,elevacion_reggaeton
11,518.0,elevacion_reggaeton
12,516.0,elevacion_reggaeton
13,515.0,elevacion_reggaeton
14,516.0,elevacion_reggaeton
15,517.0,elevacion_reggaeton
0,517.0,elevacion_reggaeton
1,513.0,elevacion_reggaeton
2,509.0,elevacion_reggaeton
3,508.0,elevacion_reggaeton
4,511.0,elevacion_reggaeton
5,515.0,elevacion_reggaeton
6,520.0,elevacion_reggaeton
7,519.0,elevacion_reggaeton
8,515.0,elevacion_reggaeton
9,517.0,elevacion_reggaeton
10,520.0,elevacion_reggaeton
11,518.0,elevacion_reggaeton
12,519.0,elevacion_reggaeton
13,513.0,elevacion_reggaeton
14,512.0,elevacion_reggaeton
15,513.0,elevacion_reggaeton
0,513.0,elevacion_reggaeton
1,513.0,elevacion_reggaeton
2,511.0,elevacion_reggaeton
3,514.0,elevacion_reggaeton
4,520.0,elevacion_reggaeton
5,521.0,elevacion_reggaeton
6,517.0,elevacion_reggaeton
7,519.0,elevacion_reggaeton
8,528.0,elevacion_reggaeton
9,519.0,elevacion_reggaeton
10,508.0,elevacion_reggaeton
11,503.0,elevacion_reggaeton
12,505.0,elevacion_reggaeton
13,508.0,elevacion_reggaeton
14,511.0,elevacion_reggaeton
15,512.0,elevacion_reggaeton
0,508.0,elevacion_reggaeton
1,508.0,elevacion_reggaeton
2,517.0,elevacion_reggaeton
3,520.0,elevacion_reggaeton
4,513.0,elevacion_reggaeton
5,508.0,elevacion_reggaeton
6,508.0,elevacion_reggaeton
7,516.0,elevacion_reggaeton
8,519.0,elevacion_reggaeton
9,512.0,elevacion_reggaeton
10,510.0,elevacion_reggaeton
11,513.0,elevacion_reggaeton
12,515.0,elevacion_reggaeton
13,513.0,elevacion_reggaeton
14,515.0,elevacion_reggaeton
15,515.0,elevacion_reggaeton
0,509.0,elevacion_reggaeton
1,512.0,elevacion_reggaeton
2,515.0,elevacion_reggaeton
3,516.0,elevacion_reggaeton
4,521.0,elevacion_reggaeton
5,523.0,elevacion_reggaeton
6,522.0,elevacion_reggaeton
7,519.0,elevacion_reggaeton
8,515.0,elevacion_reggaeton
9,514.0,elevacion_reggaeton
10,520.0,elevacion_reggaeton
11,518.0,elevacion_reggaeton
12,509.0,elevacion_reggaeton
13,504.0,elevacion_reggaeton
14,507.0,elevacion_reggaeton
15,512.0,elevacion_reggaeton
0,512.0,elevacion_reggaeton
1,509.0,elevacion_reggaeton
2,506.0,elevacion_reggaeton
3,508.0,elevacion_reggaeton
4,514.0,elevacion_reggaeton
5,518.0,elevacion_reggaeton
6,521.0,elevacion_reggaeton
7,520.0,elevacion_reggaeton
8,515.0,elevacion_reggaeton
9,519.0,elevacion_reggaeton
10,518.0,elevacion_reggaeton
11,513.0,elevacion_reggaeton
12,510.0,elevacion_reggaeton
13,510.0,elevacion_reggaeton
14,513.0,elevacion_reggaeton
15,515.0,elevacion_reggaeton
0,515.0,elevacion_reggaeton
1,515.0,elevacion_reggaeton
2,515.0,elevacion_reggaeton
3,515.0,elevacion_reggaeton
4,511.0,elevacion_reggaeton
5,514.0,elevacion_reggaeton
6,514.0,elevacion_reggaeton
7,516.0,elevacion_reggaeton
8,518.0,elevacion_reggaeton
9,515.0,elevacion_reggaeton
10,513.0,elevacion_reggaeton
11,509.0,elevacion_reggaeton
12,510.0,elevacion_reggaeton
13,512.0,elevacion_reggaeton
14,513.0,elevacion_reggaeton
15,512.0,elevacion_reggaeton
0,513.0,elevacion_reggaeton
1,513.0,elevacion_reggaeton
2,515.0,elevacion_reggaeton
3,513.0,elevacion_reggaeton
4,517.0,elevacion_reggaeton
5,513.0,elevacion_reggaeton
6,509.0,elevacion_reggaeton
7,514.0,elevacion_reggaeton
8,517.0,elevacion_reggaeton
9,521.0,elevacion_reggaeton
10,521.0,elevacion_reggaeton
11,521.0,elevacion_reggaeton
12,518.0,elevacion_reggaeton
13,515.0,elevacion_reggaeton
14,514.0,elevacion_reggaeton
15,512.0,elevacion_reggaeton
0,512.0,elevacion_reggaeton
1,514.0,elevacion_reggaeton
2,516.0,elevacion_reggaeton
3,512.0,elevacion_reggaeton
4,513.0,elevacion_reggaeton
5,514.0,elevacion_reggaeton
6,519.0,elevacion_reggaeton
7,515.0,elevacion_reggaeton
8,515.0,elevacion_reggaeton
9,512.0,elevacion_reggaeton
10,510.0,elevacion_reggaeton
11,510.0,elevacion_reggaeton
12,509.0,elevacion_reggaeton
13,505.0,elevacion_reggaeton
14,506.0,elevacion_reggaeton
15,513.0,elevacion_reggaeton
0,517.0,elevacion_reggaeton
1,526.0,elevacion_reggaeton
2,526.0,elevacion_reggaeton
3,517.0,elevacion_reggaeton
4,514.0,elevacion_reggaeton
5,511.0,elevacion_reggaeton
6,509.0,elevacion_reggaeton
7,512.0,elevacion_reggaeton
8,513.0,elevacion_reggaeton
9,514.0,elevacion_reggaeton
10,512.0,elevacion_reggaeton
11,513.0,elevacion_reggaeton
12,517.0,elevacion_reggaeton
13,516.0,elevacion_reggaeton
14,514.0,elevacion_reggaeton
15,516.0,elevacion_reggaeton
0,514.0,elevacion_reggaeton
1,512.0,elevacion_reggaeton
2,513.0,elevacion_reggaeton
3,511.0,elevacion_reggaeton
4,510.0,elevacion_reggaeton
5,515.0,elevacion_reggaeton
6,519.0,elevacion_reggaeton
7,515.0,elevacion_reggaeton
8,516.0,elevacion_reggaeton
9,515.0,elevacion_reggaeton
10,516.0,elevacion_reggaeton
11,514.0,elevacion_reggaeton
12,513.0,elevacion_reggaeton
13,512.0,elevacion_reggaeton
14,511.0,elevacion_reggaeton
15,510.0,elevacion_reggaeton
0,515.0,elevacion_reggaeton
1,511.0,elevacion_reggaeton
2,511.0,elevacion_reggaeton
3,512.0,elevacion_reggaeton
4,512.0,elevacion_reggaeton
5,512.0,elevacion_reggaeton
6,514.0,elevacion_reggaeton
7,515.0,elevacion_reggaeton
8,515.0,elevacion_reggaeton
9,511.0,elevacion_reggaeton
10,511.0,elevacion_reggaeton
11,514.0,elevacion_reggaeton
12,522.0,elevacion_reggaeton
13,523.0,elevacion_reggaeton
14,520.0,elevacion_reggaeton
15,513.0,elevacion_reggaeton
0,513.0,elevacion_reggaeton
1,515.0,elevacion_reggaeton
2,512.0,elevacion_reggaeton
3,511.0,elevacion_reggaeton
4,513.0,elevacion_reggaeton
5,518.0,elevacion_reggaeton
6,519.0,elevacion_reggaeton
7,518.0,elevacion_reggaeton
8,516.0,elevacion_reggaeton
